Country,Continent,Gender,Asterisk,WorldRecord,Athlete,Year,cleantime,speed
Samoa,Oceania,M,,,Jeremy Dodson,2015,10.36,9.652509653
Samoa,Oceania,F,,,Talava Tavui,2006,12.21,8.19000819
San Marino,Europe,M,,,Gian Nicola Berardi,2003,10.6,9.433962264
San Marino,Europe,F,,,Martina Pretelli,2011,12.02,8.319467554
Sao Tome and Principe,Africa,M,,,Yazaldes Nascimento,2007,10.61,9.425070688
Sao Tome and Principe,Africa,F,,,Severina Cravid,2001,11.46,8.72600349
Senegal,Africa,M,,,Oumar Loum,2002,10.17,9.832841691
Senegal,Africa,F,,,Aminata Diouf,1999,11.24,8.896797153
Serbia,Europe,M,,,Slobodan Brankovic,1993,10.33,9.68054211
Serbia,Europe,F,,,Kornelija Sinkovic,1987,11.34,8.818342152
Seychelles,Africa,M,,,Cyril Brioche,1987,10.51,9.514747859
Seychelles,Africa,F,,,Joanne Pricilla Loutoy,2016,11.94,8.37520938
Sierra Leone,Africa,M,,,Gibrilla Pato Bangura,2009,10.09,9.910802775
Sierra Leone,Africa,F,,,Ngozi Musa,2016,11.66,8.576329331
Singapore,Asia,M,,,Umaglia Kancanangai Shyam,2001,10.37,9.643201543
Singapore,Asia,F,,,Veronica Shanti Pereira,2015,11.8,8.474576271
Slovakia,Europe,M,,,Adam Zavacky,2013,10.21,9.794319295
Slovakia,Europe,F,,,Eva Lehocka-Gleskova,1968,11.29,8.857395926
Slovenia,Europe,M,,,Matic Osovnikar,2007,10.13,9.871668312
Slovenia,Europe,F,,,Merlene Ottey,2004,10.74,9.310986965
Solomon Islands,Oceania,M,,,Jim Marau,1975,10.6,9.433962264
Solomon Islands,Oceania,F,,,Jenny Keni,2003,12.64,7.911392405
Somalia,Africa,M,,,Abdi Mohamed Abdulkadir,1987,11.36,8.802816901
Somalia,Africa,F,,,Hawa Abdullahi Ahmed,1987,13.23,7.558578987
South Africa,Africa,M,,,Akani Simbine,2016,9.89,10.11122346
South Africa,Africa,F,Y,,Evette de Klerk,1990,11.06,9.04159132
South Korea,Asia,M,,,Kim Kuk-young,2015,10.16,9.842519685
South Korea,Asia,F,,,Lee Young-Sook,1994,11.49,8.703220191
Spain,Europe,M,,,Bruno Hortelano,2016,10.06,9.940357853
Spain,Europe,F,,,Sandra Myers,1991,11.06,9.04159132
Sri Lanka,Asia,M,,,Himasha Eashan,2016,10.26,9.746588694
Sri Lanka,Asia,F,,,Susanthika Jayasinghe,2000,11.04,9.057971014
Sudan,Africa,M,,,A. K. Mark,2010,10.1,9.900990099
Sudan,Africa,F,,,Gubara Asmal,2007,12.39,8.07102502
Suriname,South America,M,,,Jurgen Themen,2016,10.13,9.871668312
Suriname,South America,F,,,Kirsten Nieuwendam,2012,11.6,8.620689655
Swaziland,Africa,M,,,Sibusiso Matsenjwa,2015,10.38,9.633911368
Swaziland,Africa,F,,,Phumlile Ndzinisa,2016,11.35,8.810572687
Sweden,Europe,M,,,Peter Karlsson,1996,10.18,9.823182711
Sweden,Europe,F,,,Linda Haglund,1980,11.16,8.960573477
Switzerland,Europe,M,,,Alex Wilson,2013,10.12,9.881422925
Switzerland,Europe,F,,,Mujinga Kambundji,2015,11.07,9.033423668
Syria,Asia,M,,,Nabil Nahri,1980,10.67,9.372071228
Syria,Asia,F,,,Mounira Al-Saleh,2009,11.93,8.382229673
Tajikistan,Asia,M,,,Aram Enokyan,1987,10.52,9.505703422
Tajikistan,Asia,F,,,Svetlana Morar,1983,11.94,8.37520938
Tanzania,Africa,M,,,Norman Chihota,1968,10.56,9.46969697
Tanzania,Africa,F,,,Nzaeli Kyomo,1989,11.63,8.598452279
Thailand,Asia,M,,,Reanchai Seerhawong,1998,10.23,9.775171065
Thailand,Asia,F,,,Supavadee Khawpeag,2001,11.33,8.826125331
Togo,Africa,M,,,Franck Amegnigan,1996,10.3,9.708737864
Togo,Africa,F,,,Sandrine Thiebaud-Kangni,2004,12.01,8.326394671
